"month","year","Monthly consumption, TWh","Cumulative consumption, TWh"
"July",2010,0,0
"August",2010,0,0
"September",2010,0,0
"October",2010,0,0
"November",2010,0,0
"December",2010,0,0
"January",2011,0,0
"February",2011,0,0
"March",2011,0,0
"April",2011,0,0
"May",2011,0.01,0.01
"June",2011,0.04,0.05
"July",2011,0.02,0.07
"August",2011,0.01,0.08
"September",2011,0.01,0.09
"October",2011,0,0.09
"November",2011,0,0.09
"December",2011,0,0.09
"January",2012,0,0.09
"February",2012,0,0.09
"March",2012,0.01,0.1
"April",2012,0,0.1
"May",2012,0.01,0.11
"June",2012,0.01,0.12
"July",2012,0.01,0.13
"August",2012,0.01,0.14
"September",2012,0.01,0.15
"October",2012,0.01,0.16
"November",2012,0.01,0.17
"December",2012,0.01,0.18
"January",2013,0.01,0.19
"February",2013,0.01,0.2
"March",2013,0.01,0.21
"April",2013,0.02,0.23
"May",2013,0.03,0.26
"June",2013,0.04,0.3
"July",2013,0.06,0.36
"August",2013,0.08,0.44
"September",2013,0.04,0.48
"October",2013,0.1,0.58
"November",2013,0.19,0.77
"December",2013,0.36,1.13
"January",2014,0.64,1.77
"February",2014,0.75,2.52
"March",2014,0.28,2.8
"April",2014,0.41,3.21
"May",2014,0.57,3.78
"June",2014,0.8,4.58
"July",2014,0.63,5.21
"August",2014,0.66,5.87
"September",2014,0.14,6.01
"October",2014,0.16,6.17
"November",2014,0.17,6.34
"December",2014,0.15,6.49
"January",2015,0.16,6.65
"February",2015,0.15,6.8
"March",2015,0.18,6.98
"April",2015,0.17,7.15
"May",2015,0.18,7.33
"June",2015,0.18,7.51
"July",2015,0.19,7.7
"August",2015,0.2,7.9
"September",2015,0.21,8.11
"October",2015,0.23,8.34
"November",2015,0.25,8.59
"December",2015,0.35,8.94
"January",2016,0.44,9.38
"February",2016,0.55,9.93
"March",2016,0.62,10.55
"April",2016,0.64,11.19
"May",2016,0.73,11.92
"June",2016,0.74,12.66
"July",2016,0.75,13.41
"August",2016,0.65,14.06
"September",2016,0.68,14.74
"October",2016,0.76,15.5
"November",2016,0.8,16.3
"December",2016,0.93,17.23
"January",2017,1.12,18.35
"February",2017,0.78,19.13
"March",2017,0.85,19.98
"April",2017,0.59,20.57
"May",2017,0.92,21.49
"June",2017,1.32,22.81
"July",2017,1.38,24.19
"August",2017,1.36,25.55
"September",2017,1.69,27.24
"October",2017,2.03,29.27
"November",2017,2.13,31.4
"December",2017,2.72,34.12
"January",2018,3.04,37.16
"February",2018,2.78,39.94
"March",2018,3.23,43.17
"April",2018,2.99,46.16
"May",2018,3.18,49.34
"June",2018,3.67,53.01
"July",2018,3.88,56.89
"August",2018,4.51,61.4
"September",2018,4.35,65.75
"October",2018,4.24,69.99
"November",2018,3.59,73.58
"December",2018,2.74,76.32
"January",2019,3.03,79.35
"February",2019,2.72,82.07
"March",2019,3.16,85.23
"April",2019,3.19,88.42
"May",2019,3.68,92.1
"June",2019,3.95,96.05
"July",2019,4.82,100.87
"August",2019,5.18,106.05
"September",2019,5.74,111.79
"October",2019,5.92,117.71
"November",2019,5.45,123.16
"December",2019,5.34,128.5
"January",2020,6.07,134.57
"February",2020,6.04,140.61
"March",2020,5.68,146.29
"April",2020,5.39,151.68
"May",2020,5.35,157.03
"June",2020,4.45,161.48
"July",2020,4.79,166.27
"August",2020,5.3,171.57
"September",2020,5.38,176.95
"October",2020,5.36,182.31
"November",2020,6.02,188.33
"December",2020,7.08,195.41
"January",2021,8.92,204.33
"February",2021,8.44,212.77
"March",2021,9.81,222.58
"April",2021,9.45,232.03
"May",2021,9.98,242.01
"June",2021,7.26,249.27
"July",2021,5.81,255.08
"August",2021,7.29,262.37
"September",2021,7.97,270.34
"October",2021,8.98,279.32
"November",2021,9.52,288.84
